"가계지출금액","가계지출_소비지출금액","가계지출_비소비지출금액","전국전체가구_1인이상소득5분위코드","전국전체가구_1인이상소득10분위코드","소득구간코드"
5415694,1923154,3492540,5,10,8
5415896,4115648,1300248,5,09,8
5417760,4470900,946860,4,07,6
5417948,1284752,4133196,4,08,6
5419938,3832654,1587284,5,10,8
5421682,2726107,2695575,5,10,8
5422116,4489204,932912,5,10,8
5423660,3364530,2059130,3,05,4
5423783,4383010,1040773,4,08,7
5424605,3978056,1446549,4,08,7
5424927,4683222,741705,4,07,5
5425467,4256649,1168818,3,06,4
5425934,3471679,1954255,5,10,8
5426059,4772307,653752,5,10,8
5427759,1022279,4405480,4,08,6
5428177,4131097,1297080,5,09,7
5428658,3961548,1467110,5,09,8
5429268,4022195,1407073,3,06,5
5429421,4405426,1023995,5,10,8
5429839,4757687,672152,4,07,5
5432217,4380210,1052007,4,07,6
5433029,3938559,1494470,4,07,6
5433072,4357058,1076014,4,07,6
5433330,3731977,1701353,5,10,8
543370,407950,135420,1,01,1
5434749,4470462,964287,4,08,6
